POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,3.89%,2012-11-19
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.23%,2012-11-20
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.35%,2012-11-21
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.22%,2012-11-26
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.32%,2012-12-05
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.41%,2012-12-14
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.51%,2013-01-04
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.48%,2013-01-16
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.57%,2013-01-21
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.66%,2013-01-22
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.90%,2013-02-04
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,5.00%,2013-02-12
Kynikos Associates LP,OCADO GROUP PLC,GB00B3MBS747,4.97%,2013-02-14
Newedge UK Financial Ltd on behalf of Newedge Group,Ocado Group plc,GB00B3MBS747,0.56%,2012-11-01
Newedge UK Financial Ltd on behalf of Newedge Group,Ocado Group plc,GB00B3MBS747,0.16%,2012-11-09
Oxford Asset Management,Ocado Group Plc,GB00B3MBS747,0.55%,2012-11-01
Parvus Asset Management (UK) LLP,Ocado Group PLC,GB00B3MBS747,0.89%,2012-11-01
Parvus Asset Management (UK) LLP,Ocado Group PLC,GB00B3MBS747,0.47%,2012-12-11
"Point Lobos Capital, LLC",OCADO Group PLC,GB00B3MBS747,0.54%,2013-02-08
"S.A.C. Capital Advisors, L.P.",OCADO GROUP PLC,GB00B3MBS747,0.74%,2012-11-01
"S.A.C. Capital Advisors, L.P.",OCADO GROUP PLC,GB00B3MBS747,0.67%,2012-11-27
Lansdowne Partners Limited,Ophir Energy Plc,GB00B24CT194,1.71%,2013-02-08
Lansdowne Partners Limited,Ophir Engergy Plc,GB00B24CT194,1.09%,2012-11-01
Lansdowne Partners Limited,Ophir Engergy Plc,GB00B24CT194,1.80%,2013-02-11
OLD MUTUAL ASSET MANAGERS (UK) LTD,Optos Plc,GB00B0WHW246,0.53%,2012-12-11
OLD MUTUAL ASSET MANAGERS (UK) LTD,Optos Plc,GB00B0WHW246,0.65%,2012-12-18
OLD MUTUAL ASSET MANAGERS (UK) LTD,Optos Plc,GB00B0WHW246,0.72%,2012-12-20
OLD MUTUAL ASSET MANAGERS (UK) LTD,Optos Plc,GB00B0WHW246,0.80%,2013-01-04
OLD MUTUAL ASSET MANAGERS (UK) LTD,Optos Plc,GB00B0WHW246,1.00%,2013-01-08
OLD MUTUAL ASSET MANAGERS (UK) LTD,Optos Plc,GB00B0WHW246,1.10%,2013-02-12
AKO Capital LLP for AKO Master Fund Limited,PACE PLC,GB0006672785,3.55%,2012-11-01
AKO Capital LLP for AKO Master Fund Limited,PACE PLC,GB0006672785,3.83%,2012-11-15
AKO Capital LLP for AKO Master Fund Limited,PACE PLC,GB0006672785,3.97%,2012-11-16
AKO Capital LLP for AKO Master Fund Limited,PACE PLC,GB0006672785,4.05%,2012-11-19
AKO Capital LLP for AKO Master Fund Limited,PACE PLC,GB0006672785,4.12%,2012-11-20
Lansdowne Partners Limited,Pearson PLC,GB0006776081,0.50%,2013-01-23
Lansdowne Partners Limited,Pearson PLC,GB0006776081,0.61%,2013-01-24
"Morton Holdings, Inc.",Pearson Plc,GB0006776081,0.58%,2012-11-16
"Morton Holdings, Inc.",Pearson Plc,GB0006776081,0.21%,2013-02-06
GLG Partners LP,Petrofac Ltd,GB00B0H2K534,0.63%,2013-01-30
GLG Partners LP,Petrofac Ltd,GB00B0H2K534,0.58%,2013-02-12
Lansdowne Partners Limited,Petrofac Ltd,GB00B0H2K534,1.87%,2012-11-01
Lansdowne Partners Limited,Petrofac Ltd,GB00B0H2K534,1.94%,2013-02-05
Lansdowne Partners Limited,Petrofac Ltd,GB00B0H2K534,2.00%,2013-02-07
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.81%,2012-11-01
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.90%,2012-12-05
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,1.00%,2012-12-10
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.99%,2013-01-09
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.87%,2013-01-18
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.78%,2013-01-23
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.83%,2013-01-31
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,0.99%,2013-02-05
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,1.03%,2013-02-06
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,1.11%,2013-02-11
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,1.27%,2013-02-14
Oxford Asset Management,Petropavlovsk Plc,GB0031544546,1.37%,2013-02-15
UBS O'Connor Limited,PETROPAVLOVSK PLC,GB0031544546,0.51%,2013-02-12
UBS O'Connor Limited,PETROPAVLOVSK PLC,GB0031544546,0.41%,2013-02-13
"BlackRock Institutional Trust Company, National Association",Playtech Limited,IM00B7S9G985,0.77%,2012-11-01
"BlackRock Institutional Trust Company, National Association",PLAYTECH LIMITED,IM00B7S9G985,0.69%,2012-12-11
"BlackRock Institutional Trust Company, National Association",Playtech Limited,IM00B7S9G985,0.59%,2013-01-17
"BlackRock Institutional Trust Company, National Association",Playtech Limited,IM00B7S9G985,0.60%,2013-01-18
"BlackRock Institutional Trust Company, National Association",Playtech Limited,IM00B7S9G985,0.59%,2013-01-24
"BlackRock Institutional Trust Company, National Association",Playtech Limited,IM00B7S9G985,0.49%,2013-02-05
Tremblant Capital LP,PLAYTECH LIMITED,IM00B7S9G985,0.59%,2012-11-01
Tremblant Capital LP,PLAYTECH LTD,IM00B7S9G985,0.48%,2013-02-08
"BlackRock Institutional Trust Company, National Association",PREMIER FARNELL PLC,GB0003318416,0.51%,2012-12-12
"BlackRock Institutional Trust Company, National Association",PREMIER FARNELL PLC,GB0003318416,0.61%,2012-12-19
"BlackRock Institutional Trust Company, National Association",PREMIER FARNELL PLC,GB0003318416,0.59%,2013-01-07
"BlackRock Institutional Trust Company, National Association",Premier Farnell plc,GB0003318416,0.48%,2013-01-22
JPMorgan Asset Management (UK) Ltd,PREMIER FARNELL PLC,GB0003318416,0.75%,2012-12-04
JPMorgan Asset Management (UK) Ltd,PREMIER FARNELL PLC,GB0003318416,0.66%,2012-12-12
JPMorgan Asset Management (UK) Ltd,PREMIER FARNELL PLC,GB0003318416,0.58%,2012-12-17
JPMorgan Asset Management (UK) Ltd,PREMIER FARNELL PLC,GB0003318416,0.48%,2012-12-21
BlackRock Investment Management (UK) Limited,Premier Foods plc,GB00B7N0K053,1.41%,2012-11-01
BlackRock Investment Management (UK) Limited,Premier Foods plc,GB00B7N0K053,1.52%,2013-02-05
BlackRock Investment Management (UK) Limited,Premier Foods plc,GB00B7N0K053,1.60%,2013-02-11
BlackRock Investment Management (UK) Limited,PREMIER FOODS PLC,GB00B7N0K053,1.74%,2013-02-15
Ennismore Fund Management Limited,Premier Foods Plc,GB00B7NOK053,1.20%,2012-11-01
Ennismore Fund Management Limited,Premier Foods Plc,GB00B7NOK053,1.36%,2013-01-31
Ennismore Fund Management Limited,Premier Foods Plc,GB00B7NOK053,1.44%,2013-02-01
Ennismore Fund Management Limited,Premier Foods Plc,GB00B7NOK053,1.52%,2013-02-04
Ennismore Fund Management Limited,Premier Foods Plc,GB00B7NOK053,1.63%,2013-02-18
Oxford Asset Management,Premier Foods plc,GB00B7N0K053,1.09%,2012-12-10
Oxford Asset Management,Premier Foods plc,GB00B7N0K053,0.99%,2013-01-03
Sothic Capital Management LLP,Premier Foods Plc,GB00B7N0K053,0.59%,2012-11-01
Sothic Capital Management LLP,Premier Foods Plc,GB00B7N0K053,0.40%,2012-12-20
Lansdowne Partners Limited,Provident Financial PLC,GB00B1Z4ST84,2.59%,2012-11-01
Lansdowne Partners Limited,Prudential PLC,GB0007099541,0.85%,2012-11-01
Lansdowne Partners Limited,Prudential PLC,GB0007099541,0.94%,2012-12-18
Lansdowne Partners Limited,Prudential PLC,GB0007099541,1.03%,2012-12-20
Dalton Strategic Partnership LLP,PureCircle LTD,BMG7300G1096,3.32%,2012-11-01
Dalton Strategic Partnership LLP,PureCircle LTD,BMG7300G1096,2.98%,2012-11-26
Dalton Strategic Partnership LLP,Purecircle LTD,BMG7300G1096,2.78%,2012-11-27
Dalton Strategic Partnership LLP,Purecircle LTD,BMG7300G1096,2.16%,2012-11-28
Dalton Strategic Partnership LLP,Purecircle LTD,BMG7300G1096,1.53%,2012-11-29
Dalton Strategic Partnership LLP,Purecircle LTD,BMG7300G1096,1.46%,2013-01-29
Dalton Strategic Partnership LLP,Purecircle LTD,BMG7300G1096,1.52%,2013-02-05
Ennismore Fund Management Limited,PureCircle LTD,BMG7300G1096,1.10%,2012-11-01
Ennismore Fund Management Limited,PureCircle LTD,BMG7300G1096,1.07%,2012-11-26
Ennismore Fund Management Limited,PureCircle Ltd,BMG7300G1096,0.93%,2012-11-28
Ennismore Fund Management Limited,PureCircle Ltd,BMG7300G1096,0.00%,2012-11-29
"Teton Capital Partners, L.P.",Pursuit Dynamics PLC,GB0030310964,0.70%,2012-11-01
"Teton Capital Partners, L.P.",Pursuit Dynamics PLC,GB0030310964,0.00%,2012-11-13
BlackRock Investment Management (UK) Limited,PZ Cussons Plc,GB00B19Z1432,0.57%,2012-11-01
BlackRock Investment Management (UK) Limited,QINETIQ GROUP PLC,GB00B0WMWD03,0.51%,2012-12-31
BlackRock Investment Management (UK) Limited,QinetiQ Group plc,GB00B0WMWD03,0.49%,2013-02-05
"YA Global Master SPV, Ltd",Red Rock Resources PLC,GB00B0CQLF79,0.58%,2012-12-19
"YA Global Master SPV, Ltd",Red Rock Resources PLC,GB00B0CQLF79,0.69%,2012-12-20
"YA Global Master SPV, Ltd",Red Rock Resources PLC,GB00B0CQLF79,0.79%,2012-12-21
"YA Global Master SPV, Ltd",Red Rock Resources PLC,GB00B0CQLF79,0.00%,2012-12-27
"YA Global Master SPV, Ltd",Red Rock Resources PLC,GB00B0CQLF79,0.66%,2013-01-22
"YA Global Master SPV, Ltd",Red Rock Resources PLC,GB00B0CQLF79,0.70%,2013-01-23
CQS (UK) LLP,Reed Elsevier Plc,GB00B2B0DG97,0.64%,2012-11-01
CQS (UK) LLP,Reed Elsevier Plc,GB00B2B0DG97,0.58%,2012-11-08
CQS (UK) LLP,Reed Elsevier Plc,GB00B2B0DG97,0.49%,2012-12-13
ELLIOTT MANAGEMENT CORPORATION,REED ELSEVIER PLC,GB00B2B0DG97,0.59%,2012-11-01
ELLIOTT MANAGEMENT CORPORATION,REED ELSEVIER PLC,GB00B2B0DG97,0.60%,2012-11-15
ELLIOTT MANAGEMENT CORPORATION,REED ELSEVIER PLC,GB00B2B0DG97,0.58%,2013-01-09
Meditor Capital Management Limited,Reed Elsevier PLC,GB00B2B0DG97,0.87%,2012-11-01
OVS Capital Management LLP,Reed Elsevier PLC,GB00B2B0DG97,0.53%,2012-11-01
OVS Capital Management LLP,Reed Elsevier PLC,GB00B2B0DG97,0.49%,2012-12-03
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,1.11%,2012-11-05
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,0.00%,2012-11-07
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,0.87%,2012-11-28
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,0.92%,2012-11-29
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,1.05%,2012-11-30
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,1.10%,2012-12-03
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,0.00%,2012-12-05
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,0.56%,2012-12-21
"YA Global Master SPV, Ltd",Regency Mines PLC,GB00B0CQLF79,0.00%,2012-12-27
"BlackRock Institutional Trust Company, National Association",RENTOKIL INITIAL PLC,GB00B082RF11,0.50%,2012-12-06
"BlackRock Institutional Trust Company, National Association",RENTOKIL INITIAL PLC,GB00B082RF11,0.48%,2013-01-07
BlackRock Investment Management (UK) Limited,Rentokil Initial PLC,GB00B082RF11,0.58%,2012-11-01
BlackRock Investment Management (UK) Limited,Rentokil Initial PLC,GB00B082RF11,0.43%,2012-11-09
Man Investments Ltd,Rockhopper Exploration,GB00B0FVQX23,0.52%,2012-12-12
Man Investments Ltd,Rockhopper Exploration,GB00B0FVQX23,0.49%,2013-01-08
Oxford Asset Management,Rockhopper Exploration,GB00B0FVQX23,0.88%,2012-11-01
Oxford Asset Management,Rockhopper Exploration,GB00B0FVQX23,0.91%,2012-12-06
Oxford Asset Management,Rockhopper Exploration,GB00B0FVQX23,1.01%,2012-12-14
Oxford Asset Management,Rockhopper Exploration,GB00B0FVQX23,1.11%,2013-01-02
BlackRock Investment Management (UK) Limited,RPS Group plc,GB0007594764,0.67%,2012-11-01
BlackRock Investment Management (UK) Limited,RPS GROUP PLC,GB0007594764,0.70%,2012-11-20
BlackRock Investment Management (UK) Limited,RPS Group plc,GB0007594764,0.69%,2013-01-17
GLG Partners LP,Sage Group Plc,GB0008021650,0.63%,2012-11-01
GLG Partners LP,Sage Group Plc,GB0008021650,0.57%,2012-11-15
GLG Partners LP,Sage Group Plc,GB0008021650,0.39%,2012-11-16
GLG Partners LP,Sage Group Plc,GB0008021650,0.50%,2013-02-08
GLG Partners LP,Sage Group Plc,GB0008021650,0.45%,2013-02-15
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,0.60%,2013-01-09
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,0.78%,2013-01-11
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,0.83%,2013-01-14
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,0.90%,2013-01-16
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,1.01%,2013-01-30
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,1.20%,2013-02-01
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,1.32%,2013-02-05
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,1.44%,2013-02-08
Lansdowne Partners Limited,Sainsbury (J) PLC,GB00B019KW72,1.55%,2013-02-12
"Pelham Long Short Master Fund Limited   
",Sainsbury (j) plc,GB00B019KW72,0.77%,2012-10-31
QUANTATATIVE LTD,SAN LEON,IE00B3CLK236,0.52%,2013-01-07
QUANTATATIVE LTD,SAN LEON,IE00B3CLK236,0.00%,2013-01-28
"YA Global Master SPV, Ltd",Sareum Holdings PLC,GB00B02RFS12,0.55%,2012-12-03
"YA Global Master SPV, Ltd",Sareum Holdings PLC,GB00B02RFS12,0.67%,2012-12-04
"YA Global Master SPV, Ltd",Sareum Holdings PLC,GB00B02RFS12,0.00%,2012-12-05
BlackRock Investment Management (UK) Limited,Savills plc,GB00B135BJ46,0.84%,2012-11-01
BlackRock Investment Management (UK) Limited,SAVILLS PLC,GB00B135BJ46,0.72%,2012-11-20
BlackRock Investment Management (UK) Limited,SAVILLS PLC,GB00B135BJ46,0.69%,2012-11-21
BlackRock Investment Management (UK) Limited,Savills plc,GB00B135BJ46,0.59%,2013-01-22
BlackRock Investment Management (UK) Limited,Serco Group plc,GB0007973794,1.26%,2012-11-01
BlackRock Investment Management (UK) Limited,SERCO GROUP PLC,GB0007973794,1.30%,2012-11-28
BlackRock Investment Management (UK) Limited,SERCO GROUP PLC,GB0007973794,1.29%,2012-12-14
BlackRock Investment Management (UK) Limited,Serco Group plc,GB0007973794,1.32%,2013-01-29
"Morton Holdings, Inc.",Serco Group Plc,GB0007973794,0.97%,2012-11-01
"Morton Holdings, Inc.",Serco Group Plc,GB0007973794,0.71%,2012-12-20
ODEY ASSET MANAGEMENT LLP,SERCO GROUP PLC,GB0007973794,0.59%,2012-11-01
ODEY ASSET MANAGEMENT LLP,SERCO GROUP PLC,GB0007973794,0.44%,2012-12-05
BlackRock Investment Management (UK) Limited,SIG PLC,GB0008025412,0.68%,2012-11-01
BlackRock Investment Management (UK) Limited,SIG PLC,GB0008025412,0.59%,2012-11-14
BlackRock Investment Management (UK) Limited,SIG PLC,GB0008025412,0.47%,2012-11-21
BlackRock Investment Management (UK) Limited,Smiths Group plc,GB00B1WY2338,0.58%,2012-11-01
BlackRock Investment Management (UK) Limited,SMITHS GROUP PLC,GB00B1WY2338,0.49%,2013-02-06
"BlackRock Institutional Trust Company, National Association",Spectris plc,GB0003308607,0.92%,2012-11-01
"BlackRock Institutional Trust Company, National Association",Spectris plc,GB0003308607,0.75%,2012-11-09
"BlackRock Institutional Trust Company, National Association",SPECTRIS PLC,GB0003308607,0.65%,2012-11-28
"BlackRock Institutional Trust Company, National Association",SPECTRIS PLC,GB0003308607,0.56%,2013-01-14
"BlackRock Institutional Trust Company, National Association",Spectris plc,GB0003308607,0.39%,2013-01-24
"BlackRock Institutional Trust Company, National Association",Spirent Communications plc,GB0004726096,0.50%,2012-11-13
"BlackRock Institutional Trust Company, National Association",SPIRENT COMMUNICATIONS PLC,GB0004726096,0.62%,2012-11-21
"BlackRock Institutional Trust Company, National Association",SPIRENT COMMUNICATIONS PLC,GB0004726096,0.70%,2013-02-01
GLG Partners LP,Spirent Communications Plc,GB0004726096,0.67%,2012-11-01
GLG Partners LP,Spirent Communications Plc,GB0004726096,0.01%,2012-11-09
JPMorgan Asset Management (UK) Ltd,SPIRENT COMMUNICATIONS PLC,GB0004726096,0.52%,2012-11-30
JPMorgan Asset Management (UK) Ltd,SPIRENT COMMUNICATIONS PLC,GB0004726096,0.52%,2013-01-21
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,1.18%,2012-11-01
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.57%,2012-12-05
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.30%,2013-01-07
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.77%,2013-01-09
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.67%,2013-01-14
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.59%,2013-01-15
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.49%,2013-01-25
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.58%,2013-02-05
Basso Holdings Ltd.,Sportingbet PLC,GB0009516252,0.00%,2013-02-13
BNP PARIBAS SA,Sportingbet PLC,GB0009516252,0.69%,2012-11-01
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.71%,2012-11-07
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.84%,2012-12-10
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.34%,2012-12-27
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.51%,2013-01-29
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.36%,2013-02-05
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.80%,2013-02-13
BNP PARIBAS SA ,Sportingbet PLC,GB0009516252,0.65%,2013-02-14
BTG PACTUAL EUROPE LLP,Sportingbet PLC,GB0009516252,0.69%,2012-11-30
BTG PACTUAL EUROPE LLP,Sportingbet PLC,GB0009516252,0.39%,2012-12-05
BTG PACTUAL EUROPE LLP,Sportingbet PLC,GB0009516252,1.57%,2013-01-31
BTG PACTUAL EUROPE LLP,Sportingbet PLC,GB0009516252,1.87%,2013-02-04
BTG PACTUAL EUROPE LLP,Sportingbet PLC,GB0009516252,0.00%,2013-02-13
GLG Partners LP,Sportingbet Plc,GB0009516252,1.76%,2012-11-01
GLG Partners LP,Sportingbet Plc,GB0009516252,1.68%,2012-11-23
GLG Partners LP,Sportingbet Plc,GB0009516252,0.19%,2013-01-16
Lazard Asset Management LLC,Sportingbet PLC,GB0009516252,1.41%,2012-11-01
Lazard Asset Management LLC,Sportingbet PLC,GB0009516252,1.31%,2012-11-27
Lazard Asset Management LLC,Sportingbet PLC,GB0009516252,1.27%,2012-12-04
Lazard Asset Management LLC,Sportingbet plc,GB0009516252,0.70%,2013-01-31
Lazard Asset Management LLC,Sportingbet plc,GB0009516252,0.00%,2013-02-01
Polygon Global Partners LLP,Sportingbet PLC,GB0009516252,0.64%,2012-11-01
Polygon Global Partners LLP,Sportingbet PLC,GB0009516252,0.57%,2012-11-28
Polygon Global Partners LLP,Sportingbet PLC,GB0009516252,0.47%,2012-12-03
ELLIOTT MANAGEMENT CORPORATION,STAGECOACH GROUP PLC,GB00B6YTLS95,2.65%,2012-11-01
BlackRock Investment Management (UK) Limited,STOBART GROUP LTD,GB00B03HDJ73,1.62%,2012-11-01
BlackRock Investment Management (UK) Limited,STOBART GROUP LTD,GB00B03HDJ73,1.72%,2012-11-21
GMT Capital Corp,STOBART GROUP LTD,GB00B03HDJ73,0.51%,2012-12-19
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,0.62%,2013-01-02
GMT Capital Corp,STOBART GROUP LTD,GB00B03HDJ73,0.75%,2013-01-08
GMT Capital Corp,STOBART GROUP LTD,GB00B03HDJ73,0.85%,2013-01-11
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,0.92%,2013-01-15
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.02%,2013-01-18
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.10%,2013-01-21
GMT Capital Corp,STOBART GROUP LTD,GB00B03HDJ73,1.24%,2013-01-23
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.30%,2013-01-29
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.40%,2013-01-31
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.54%,2013-02-04
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.61%,2013-02-06
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.72%,2013-02-12
GMT Capital Corp,Stobart Group Ltd,GB00B03HDJ73,1.82%,2013-02-14
S.W. Mitchell Capital LLP,Stobart Group Ltd,GB00B03HDJ73,0.50%,2013-01-16
S.W. Mitchell Capital LLP,Stobart Group Ltd,GB00B03HDJ73,0.65%,2013-01-17
Susa Fund Management LLP,Stobart Group Ltd,GB00B03HDJ73,0.51%,2013-01-17
BG Master Fund PLC,Subsea 7 SA,LU0075646355,0.66%,2012-11-01
BlackRock Investment Management (UK) Limited,Synergy Health plc,GB0030757263,0.96%,2012-11-01
BlackRock Investment Management (UK) Limited,SYNERGY HEALTH PLC,GB0030757263,0.89%,2013-02-14
Henderson Global Investors,Synergy Health plc,GB0030757263,0.60%,2013-01-16
Henderson Global Investors,Synergy Health plc,GB0030757263,0.71%,2013-02-01
Pennant Capital Management LLC,TalkTalk Telecom Group PLC,GB00B4YCDF59,0.90%,2012-11-14
Pennant Capital Management LLC,TalkTalk Telecom Group PLC,GB00B4YCDF59,0.79%,2012-12-21
Pennant Capital Management LLC,TalkTalk Telecom Group PLC,GB00B4YCDF59,0.69%,2013-01-07
Pennant Capital Management LLC,TalkTalk Telecom Group PLC,GB00B4YCDF59,0.59%,2013-01-14
Pennant Capital Management LLC,TalkTalk Telecom Group PLC,GB00B4YCDF59,0.49%,2013-02-08
BlackRock Investment Management (UK) Limited,TClarke PLC,GB0002015021,1.92%,2012-11-01
Dalton Strategic Partnership LLP,Telecom Plus plc,GB0008794710,1.03%,2012-11-01
Dalton Strategic Partnership LLP,Telecom Plus plc,GB0008794710,1.15%,2012-11-19
Praxient Capital LLP,TELECOM PLUS PLC,GB0008794710,0.51%,2012-11-01
Lansdowne Partners Limited,Tesco PLC,GB0008847096,0.62%,2012-11-01
Lansdowne Partners Limited,Tesco PLC,GB0008847096,0.59%,2012-11-05
Lansdowne Partners Limited,Tesco PLC,GB0008847096,0.62%,2012-11-26
Lansdowne Partners Limited,Tesco PLC,GB0008847096,0.57%,2013-01-03
Lansdowne Partners Limited,Tesco PLC,GB0008847096,0.45%,2013-01-30
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,1.12%,2012-11-01
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,1.22%,2012-11-28
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,1.14%,2012-12-07
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,1.04%,2012-12-11
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,0.96%,2012-12-12
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,0.86%,2012-12-17
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,0.76%,2012-12-19
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,0.67%,2012-12-20
Oxford Asset Management,Thomas Cook Group Plc,GB00B1VYCH82,0.59%,2012-12-27
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,1.99%,2012-11-01
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,2.04%,2012-11-16
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,2.15%,2012-11-19
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,2.00%,2012-12-05
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,1.90%,2012-12-06
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,1.76%,2013-02-07
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,1.65%,2013-02-08
Sothic Capital Management LLP,Thomas Cook Group Plc,GB00B1VYCH82,1.58%,2013-02-13
TT International,Thomas Cook Group Plc,GB00B1VYCH82,1.43%,2012-11-23
TT International,Thomas Cook Group Plc,GB00B1VYCH82,1.18%,2012-11-26
TT International,Thomas Cook Group Plc,GB00B1VYCH82,1.07%,2012-11-27
TT International,Thomas Cook Group Plc,GB00B1VYCH82,0.53%,2012-11-28
TT International,Thomas Cook Group Plc,GB00B1VYCH82,0.83%,2013-01-23
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,2.18%,2012-11-01
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,2.03%,2012-11-30
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,1.98%,2012-12-03
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,1.70%,2013-01-17
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,1.62%,2013-01-18
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,1.72%,2013-01-31
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,3.88%,2013-02-08
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,3.71%,2013-02-12
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,3.66%,2013-02-13
ODEY ASSET MANAGEMENT LLP,TRINITY MIRROR PLC,GB0009039941,3.55%,2013-02-15
"Axial Capital Management, LLC",TUI TRAVEL PLC,GB00B1Z7RQ77,0.55%,2012-11-01
